,Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent,Long,Lat,ZipCode,Precinct
0,manhattan,Chelsea,130 W 15th Street,2.0,2.0,1377.37,9150.0,-73.9974784,40.7384148,10011,13.0
1,manhattan,Murray Hill,401 East 34th Street,2.0,2.0,1085.0,6276.0,-73.9727084,40.7436487,10016,13.0
2,manhattan,Washington Heights,432 West 163rd Street,2.0,1.0,855.99,2646.0,-73.93837313043478,40.83600156521739,10032,33.0
3,manhattan,South Harlem,207 West 121st Street,0.5,1.0,537.89,1950.0,-73.95043528571429,40.80660726530612,10027,28.0
4,manhattan,upper east side-carnegie hill,420 E 54th Street,1.0,2.0,851.0,5869.0,-73.9633352,40.7558074,10022,18.0
5,manhattan,Upper West Side,255 W 94th Street,1.0,1.0,714.85,4350.0,-73.9731136,40.7936229,10025,24.0
6,manhattan,Upper West Side,255 W 94th Street,1.0,1.0,713.05,4295.0,-73.9731136,40.7936229,10025,24.0
7,manhattan,Upper West Side,255 W 94th Street,0.5,1.0,600.05,3850.0,-73.9731136,40.7936229,10025,24.0
8,manhattan,Upper West Side,255 W 94th Street,1.0,1.0,706.51,4095.0,-73.9731136,40.7936229,10025,24.0
9,manhattan,Upper West Side,255 W 94th Street,3.0,2.0,1618.42,10500.0,-73.9731136,40.7936229,10025,24.0
10,manhattan,Financial District,120 Greenwich Street,1.0,1.0,568.0,3850.0,-74.01330935714286,40.708887,10006,5.0
11,manhattan,Upper West Side,212 West 91st Street,0.5,1.0,568.97,2900.0,-73.9737135,40.7911655,10024,24.0
12,manhattan,Washington Heights,838 Riverside Drive,3.0,1.0,1090.63,3800.0,-73.94572121125562,40.83601039949463,10032,33.0
13,manhattan,Battery Park City,377 Rector Place,1.0,1.0,621.0,4000.0,-74.01708014285714,40.70945607142857,10280,5.0
14,manhattan,West Chelsea,312 11th Avenue,0.5,1.0,535.0,3550.0,-74.00323078347762,40.7527815,10001,10.0
15,manhattan,Kips Bay,240 East 27th Street,1.0,1.0,941.0,4840.0,-73.9795127,40.7404464,10016,13.0
16,manhattan,Midtown,260 West 52nd Street,1.0,1.0,616.0,4135.0,-73.9849048,40.7633132,10019,18.0
17,manhattan,West Village,53 Leroy Street,1.0,2.0,1093.62,6495.0,-74.00448144444445,40.73029866666666,10014,6.0
18,manhattan,Lincoln Square,645 West 59th Street,3.0,3.5,2026.0,31000.0,-73.99164928571429,40.772214081632654,10019,20.0
19,manhattan,Inwood,65 Post Avenue,1.0,1.0,633.06,1850.0,-73.92213552173914,40.86369313043478,10034,34.0
20,manhattan,Little Italy,160 Mott Street,1.0,1.0,380.0,2100.0,-73.99601895703138,40.7195431,10013,5.0
21,manhattan,Lenox Hill,1411 York Avenue,0.5,1.0,554.25,2450.0,-73.9523931,40.7690479,10128,19.0
22,manhattan,Lenox Hill,1411 York Avenue,0.5,1.0,562.43,2700.0,-73.9523931,40.7690479,10128,19.0
23,manhattan,Lenox Hill,1409 York Avenue,0.5,1.0,554.25,2450.0,-73.9525187,40.768995,10021,19.0
24,manhattan,Carnegie Hill,173 East 87th Street,2.0,1.0,600.0,1800.0,-73.9542395,40.779906,10128,22.0
25,manhattan,Lenox Hill,1409 York Avenue,1.0,1.0,659.24,2650.0,-73.9525187,40.768995,10021,19.0
